name,varlab
DayDeaMeFoLANL20201021,Daily deaths mean smooth forecast only LANL
update_date20201021,update date
DayDeaMeRaLANL20201025,Daily deaths mean raw LANL
DayDeaMeSmLANL20201025,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201025,Daily deaths mean smooth forecast only LANL
update_date20201025,update date
DayDeaMeRaLANL20201028,Daily deaths mean raw LANL
DayDeaMeSmLANL20201028,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201028,Daily deaths mean smooth forecast only LANL
update_date20201028,update date
DayDeaMeRaLANL20201101,Daily deaths mean raw LANL
DayDeaMeSmLANL20201101,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201101,Daily deaths mean smooth forecast only LANL
update_date20201101,update date
DayDeaMeRaLANL20201104,Daily deaths mean raw LANL
DayDeaMeSmLANL20201104,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201104,Daily deaths mean smooth forecast only LANL
update_date20201104,update date
DayDeaMeRaLANL20201108,Daily deaths mean raw LANL
DayDeaMeSmLANL20201108,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201108,Daily deaths mean smooth forecast only LANL
update_date20201108,update date
DayDeaMeRaLANL20201111,Daily deaths mean raw LANL
DayDeaMeSmLANL20201111,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201111,Daily deaths mean smooth forecast only LANL
update_date20201111,update date
DayDeaMeRaLANL20201115,Daily deaths mean raw LANL
DayDeaMeSmLANL20201115,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201115,Daily deaths mean smooth forecast only LANL
update_date20201115,update date
DayDeaMeRaLANL20201118,Daily deaths mean raw LANL
DayDeaMeSmLANL20201118,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201118,Daily deaths mean smooth forecast only LANL
update_date20201118,update date
DayDeaMeRaLANL20201122,Daily deaths mean raw LANL
DayDeaMeSmLANL20201122,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201122,Daily deaths mean smooth forecast only LANL
update_date20201122,update date
DayDeaMeRaLANL20201125,Daily deaths mean raw LANL
DayDeaMeSmLANL20201125,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201125,Daily deaths mean smooth forecast only LANL
update_date20201125,update date
DayDeaMeRaLANL20201129,Daily deaths mean raw LANL
DayDeaMeSmLANL20201129,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201129,Daily deaths mean smooth forecast only LANL
update_date20201129,update date
