name,varlab
DayDeaMeFoIMPE20200722,Daily deaths mean smooth forecast only IMPE
update_date20200722,update date
DayDeaMeRaIMPE20200725,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200725,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200725,Daily deaths mean smooth forecast only IMPE
update_date20200725,update date
DayDeaMeRaIMPE20200727,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200727,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200727,Daily deaths mean smooth forecast only IMPE
update_date20200727,update date
DayDeaMeRaIMPE20200731,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200731,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200731,Daily deaths mean smooth forecast only IMPE
update_date20200731,update date
DayDeaMeRaIMPE20200808,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200808,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200808,Daily deaths mean smooth forecast only IMPE
update_date20200808,update date
DayDeaMeRaIMPE20200810,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200810,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200810,Daily deaths mean smooth forecast only IMPE
update_date20200810,update date
DayDeaMeRaIMPE20200811,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200811,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200811,Daily deaths mean smooth forecast only IMPE
update_date20200811,update date
DayDeaMeRaIMPE20200813,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200813,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200813,Daily deaths mean smooth forecast only IMPE
update_date20200813,update date
DayDeaMeRaIMPE20200814,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200814,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200814,Daily deaths mean smooth forecast only IMPE
update_date20200814,update date
DayDeaMeRaIMPE20200817,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200817,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200817,Daily deaths mean smooth forecast only IMPE
update_date20200817,update date
DayDeaMeRaIMPE20200823,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200823,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200823,Daily deaths mean smooth forecast only IMPE
update_date20200823,update date
DayDeaMeRaIMPE20200825,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200825,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200825,Daily deaths mean smooth forecast only IMPE
update_date20200825,update date
DayDeaMeRaIMPE20200827,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200827,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200827,Daily deaths mean smooth forecast only IMPE
update_date20200827,update date
DayDeaMeRaIMPE20200831,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200831,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200831,Daily deaths mean smooth forecast only IMPE
update_date20200831,update date
DayDeaMeRaIMPE20200902,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200902,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200902,Daily deaths mean smooth forecast only IMPE
update_date20200902,update date
DayDeaMeRaIMPE20200906,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200906,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200906,Daily deaths mean smooth forecast only IMPE
update_date20200906,update date
DayDeaMeRaIMPE20200908,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200908,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200908,Daily deaths mean smooth forecast only IMPE
update_date20200908,update date
DayDeaMeRaIMPE20200912,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200912,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200912,Daily deaths mean smooth forecast only IMPE
update_date20200912,update date
DayDeaMeRaIMPE20200915,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200915,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200915,Daily deaths mean smooth forecast only IMPE
update_date20200915,update date
DayDeaMeRaIMPE20200919,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200919,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200919,Daily deaths mean smooth forecast only IMPE
update_date20200919,update date
DayDeaMeRaIMPE20200923,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200923,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200923,Daily deaths mean smooth forecast only IMPE
update_date20200923,update date
DayDeaMeRaIMPE20200925,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200925,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200925,Daily deaths mean smooth forecast only IMPE
update_date20200925,update date
DayDeaMeRaIMPE20201003,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201003,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201003,Daily deaths mean smooth forecast only IMPE
update_date20201003,update date
DayDeaMeRaIMPE20201006,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201006,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201006,Daily deaths mean smooth forecast only IMPE
update_date20201006,update date
DayDeaMeRaIMPE20201012,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201012,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201012,Daily deaths mean smooth forecast only IMPE
update_date20201012,update date
DayDeaMeRaIMPE20201019,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201019,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201019,Daily deaths mean smooth forecast only IMPE
update_date20201019,update date
DayDeaMeRaIMPE20201025,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201025,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201025,Daily deaths mean smooth forecast only IMPE
update_date20201025,update date
DayDeaMeRaIMPE20201028,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201028,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201028,Daily deaths mean smooth forecast only IMPE
update_date20201028,update date
DayDeaMeRaIMPE20201101,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201101,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201101,Daily deaths mean smooth forecast only IMPE
update_date20201101,update date
DayDeaMeRaIMPE20201110,Daily deaths mean raw IMPE
